soft_templates
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable WHERE variable = string ) AND variable = string ;
SELECT variable FROM variable WHERE variable IN ( SELECT variable FROM variable WHERE variable = ( SELECT MAX ( variable ) FROM variable ) );
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = ( SELECT MIN ( variable ) FROM variable );
SELECT variable FROM variable WHERE variable = ( SELECT MIN ( variable ) FROM variable );
SELECT variable FROM variable WHERE variable = ( SELECT MIN ( variable ) FROM variable );
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
SELECT variable FROM variable WHERE variable = string ;
