sql_query
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  "wyoming" ) AND state_name  =  "wyoming";
SELECT river_name FROM river WHERE traverse IN ( SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city ) );
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT area FROM state WHERE state_name  =  "new mexico";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT population FROM state WHERE state_name  =  "california";
SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MIN ( population ) FROM state );
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT city_name FROM city WHERE state_name  =  "texas";
SELECT area FROM state WHERE capital  =  "albany";
SELECT lake_name FROM lake WHERE state_name  =  "california";
SELECT lake_name FROM lake WHERE area  >  750 AND state_name  =  "michigan";
SELECT state_name FROM state;
SELECT state_name FROM state;
SELECT state_name FROM state;
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT traverse FROM river WHERE river_name  =  "ohio";
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
SELECT lowest_elevation FROM highlow WHERE state_name  =  "pennsylvania";
SELECT highest_point  ,  state_name FROM highlow WHERE lowest_elevation  =  0;
